IC,Brain region,Cluster size (voxels),tmax,MNI coordinates,MNI coordinates,MNI coordinates,"Cytoarchitectonic Brodmann area (Probability, if available)",Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0
IC 24 (0.98),Left ParaHippocampal Gyrus,361,8.73,–18,–10,–22,Hipp (SUB) (60%),,,
Hippocampal,,,,,,,Hipp (HATA) (40%),,,
,,,,,,,Hipp (CA) (40%),,,
,Right Hippocampus,160,10.4,20,–10,–18,Hipp (SUB) (50%),,,
,,,,,,,Amyg (SF) (50%),,,
,,,,,,,Hipp (CA) (50%),,,
,Right ParaHippocampal Gyrus,same cluster,7.74,20,–8,–26,Hipp (EC) (60%),,,
,,,,,,,Hipp (SUB) (40%),,,
,,,,,,,Hipp (CA) (30%),,,
IC 35 (0.98),Right Putamen,2107,12.9,28,6,–2,,,,
Basal Ganglia (BG),Left Amygdala,same cluster,12.46,–22,0,–16,Amyg (SF) (70%),,,
,Left Putamen,same cluster,12.34,–24,6,0,,,,
,Left Thalamus,same cluster,12.0,–6,–20,6,,,,
,Right Thalamus,same cluster,11.57,8,–20,4,,,,
,Right Amygdala,same cluster,11.56,26,2,–16,Amyg (SF) (30%),,,
Default-Mode Networks (DMN),,,,,,,,,,
IC 49 (0.97),Right Precuneus,3530,18.94,4,–52,24,,,,
Posterior Default Mode Network (DMN),Left Posterior Cingulate Cortex,same cluster,18.83,–2,–44,32,,,,
,Left Angular Gyrus,366,11.24,–46,–62,26,IPC (PGp) (30%),,,
,Left Inferior Parietal Lobule,same cluster,8.44,–30,–56,40,hIP3 (50%),,,
,Right Angular Gyrus,346,12.53,44,–64,32,IPC (PGp) (70%),,,
IC 63 (0.96),Right Precuneus,541,14.0,2,–58,22,,,,
DMN,Left Precuneus,same cluster,12.31,–4,–54,14,,,,
,Left Middle Occipital Gyrus,491,10.64,–42,–72,24,IPC (PGp) (60%),,,
,Left Middle Temporal Gyrus,same cluster,10.49,–44,–68,22,IPC (PGp) (50%),,,
,Right Middle Temporal Gyrus,396,10.04,46,–62,22,IPC (PGp) (50%),,,
Cognitive and Attention Network (CAN),,,,,,,,,,
IC 2 (0.98),Left Anterior Cingulate Cortex,1310,13.59,–4,44,–2,,,,
Self-Referential Network (SRN),Left Mid Orbital Gyrus,same cluster,13.39,–2,48,–6,,,,
,Right Anterior Cingulate Cortex,same cluster,12.09,8,34,10,,,,
IC 17 (0.98),Right Anterior Cingulate Cortex,4850,13.39,6,46,8,,,,
Central,Left Superior Medial Gyrus,same cluster,12.94,–2,54,10,,,,
Executive Network (CEN),Right Superior Frontal Gyrus,same cluster,12.06,24,58,14,,,,
IC 32 (0.98),Right Middle Temporal Gyrus,1933,14.72,52,–20,–12,,,,
Ventral Attention,Right Angular Gyrus,same cluster,12.55,56,–56,24,IPC (PGa) (70%),,,
Network (VAN),Left Middle Temporal Gyrus,987,13.48,–58,–38,–2,,,,
,Left SupraMarginal Gyrus,same cluster,10.17,–52,–52,26,IPC (PGa) (40%),,,
,,,,,,,IPC (PF) (30%),,,
,Right Precuneus,174,10.33,6,–58,46,SPL (7A) (40%),,,
,,,,,,,SPL (7P) (10%),,,
IC 40 (0.98),Right Inferior Parietal Lobule,1395,12.44,46,–54,40,IPC (PGa) (40%),,,
Right CEN,,,,,,,hIP1 (10%),,,
,Right Inferior Frontal Gyrus (p. Triangularis),277,11.7,44,28,28,,,,
,Right Middle Frontal Gyrus,same cluster,10.15,46,36,22,,,,
,Right Middle Frontal Gyrus,271,11.62,42,50,0,,,,
,Right Inferior Frontal Gyrus (p. Orbitalis),same cluster,10.48,38,40,–18,,,,
,Right Superior Frontal Gyrus,same cluster,9.36,24,54,2,,,,
IC 45 (0.97),Left Inferior Parietal Lobule,1645,14.29,–32,–72,40,IPC (PGp) (20%),,,
Left CEN,Left Angular Gyrus,same cluster,12.18,–36,–60,42,hIP1 (30%),,,
,Left Middle Frontal Gyrus,188,11.3,–44,12,46,,,,
,Right Inferior Parietal Lobule,98,10.16,46,–56,46,IPC (PGa) (40%),,,
IC 47 (0.97),Right Inferior Parietal Lobule,5056,14.47,50,–36,50,IPC (PFt) (40%),,,
Dorsal Attention Network (DAN),,,,,,,IPC (PFm) (30%),,,
,Right Superior Parietal Lobule,same cluster,14.41,28,–60,50,hIP3 (30%),,,
,,,,,,,SPL (7A) (20%),,,
,Right Angular Gyrus,same cluster,12.88,30,–60,44,hIP3 (30%),,,
,Right SupraMarginal Gyrus,same cluster,12.49,44,–36,42,hIP2 (30%),,,
,,,,,,,IPC (PF) (20%),,,
IC 50 (0.97),Left Insula Lobe,252,8.22,–32,18,–14,,,,
Salience Network (SN),Right Insula Lobe,235,9.76,46,2,–4,OP 4 (10%),,,
IC 53 (0.98),Left Inferior Frontal Gyrus (p. Opercularis),1874,13.61,–48,14,14,Area 44 (40%),,,
SN,,,,,,,,,,
,Left Insula Lobe,same cluster,10.81,–36,8,6,Area 44 (10%),,,
,Right Inferior Frontal Gyrus (p. Opercularis),292,10.62,50,18,6,Area 44 (40%),,,
,,,,,,,Area 45 (30%),,,
,Right Insula Lobe,same cluster,8.23,40,6,0,,,,
,Left Middle Temporal Gyrus,193,9.91,–42,–52,14,,,,
,Left Superior Temporal Gyrus,same cluster,8.54,–56,–48,18,IPC (PGa) (20%),,,
IC 75 (0.96),Left Anterior Cingulate Cortex,2316,14.67,–8,22,26,,,,
SN,Left Insula Lobe,83,10.67,–46,10,–8,,,,
,Right Insula Lobe,50,9.05,44,16,–8,,,,
