No,Fig.,Description???,Description???.1,Statistics,Power
ar,,Healthy group (n = 5/timepoint),Healthy group (n = 5/timepoint),Paired Cohen’s d = –0.191p = 0.807,"–1.52, 0.831baseline = 0.81 ± 0.03restraint = 0.78 ± 0.07"
FST,,,,,
as,???,Totalactivity,CRS group (n = 19/timepoint),Paired Cohen’s d = –0.62p = 0.0414,"–1.19, –0.0902baseline = 42 ± 2restraint = 37 ± 1"
at,???,Totalactivity,Healthy group (n = 8/timepoint),Paired Cohen’s d = –0.726p = 0.22,"–1.91, 0.489baseline = 45 ± 3restraint = 40 ± 2"
au,???,Swimming,CRS group (n = 19/timepoint),Paired Cohen’s d = 0.0269p = 0.896,"–0.526, 0.489baseline = 26 ± 2restraint = 26 ± 2"
av,???,Swimming,Healthy group (n = 8/timepoint),Paired Cohen’s d = 0.0p = 0.969,"–1.54, 1.17baseline = 30 ± 3restraint = 30 ± 4"
aw,???,Climbing,CRS group (n = 19/timepoint),Paired Cohen’s d = –0.696p = 0.021,"–1.22, –0.202baseline = 16 ± 2restraint = 11 ± 1"
ax,???,Climbing,Healthy group (n = 8/timepoint),Paired Cohen’s d = –0.8p = 0.12,"–1.92, 0.327baseline = 15 ± 2restraint = 10 ± 2"
ay,???,Immobility,CRS group (n = 19/timepoint),Paired Cohen’s d = 0.611p = 0.0438,"0.0902, 1.19baseline = 18 ± 2restraint = 23 ± 1"
az,???,Immobility,Healthy group (n = 8/timepoint),Paired Cohen’s d = 0.726p = 0.22,"0.0902, 1.19baseline = 15 ± 3restraint = 20 ± 2"
ba,???,Latency,CRS group (n = 19/timepoint),Paired Cohen’s d = –1.34p = 0.0006,"–2.03, –0.578baseline = 119 ± 9 srestraint = 71 ± 7 s"
bb,???,Latency,Healthy group (n = 8/timepoint),Paired Cohen’s d = –0.0967p = 0.92,"–1.59, 1.21baseline = 101 ± 32restraint = 95 ± 16"
rs-fMRI,rs-fMRI,rs-fMRI,rs-fMRI,rs-fMRI,rs-fMRI
bc,???,ICA/dual regression,CRS group with all restraint data [baseline: n = 11 from current cohort and n = 22from ???; restraint: n = 15],Dual regressionp < 0.05,
bd,???,ICA/dual regression,CRS group with restraint data based on FST findings [baseline: n = 11 from currentcohort and n = 22 from ???; restraint: n = 9],Dual regressionp < 0.05,
be,???,ICA/dual regression,Salience networkCRS group (baseline: n = 9 from current cohort; restraint: n = 15),Unpaired Cohen’s d = –2.33p = 0.0,"–3.2, –1.29baseline = 36 ± 3restraint = 19 ± 1"
bf,???,ICA/dual regression,Salience networkHealthy group (baseline: n = 5 from current cohort; restraint: n = 8),Unpaired Cohen’s d = –0.208p = 0.718,"–1.68, 0.93baseline = 29 ± 5restraint = 27 ± 4"
bg,???,ICA/dual regression,Interoceptive networkCRS group (baseline: n = 9 from current cohort; restraint: n = 15),Unpaired Cohen’s d = –1.38p = 0.0032,"–2.13, –0.574baseline = 39 ± 5restraint = 23 ± 2"
bh,???,ICA/dual regression,Interoceptive networkHealthy group (baseline: n = 5 from current cohort; restraint: n = 8),Unpaired Cohen’s d = –0.539p = 0.374,"–1.47, 0.685baseline = 27 ± 2restraint = 22 ± 4"
bi,???,Seed-based analysis,CRS group with all restraint data [baseline: n = 11 from current cohort and n = 22from ???; restraint: n = 15],"Higher-level FEATp < 0.05, z > 2",
bj,???,Seed-based analysis,CRS group (baseline: n = 9 from current cohort; restraint: n = 15),Unpaired Cohen’s d = 1.51p = 0.0018,"0.712, 2.18baseline = 0.13 ± 0.02restraint = 0.29 ± 0.03"
bk,???,Seed-based analysis,Healthy group (baseline: n = 5 from current cohort; restraint: n = 8),Unpaired Cohen’s d = 0.752p = 0.214,"–0.318, 1.74baseline = 0.15 ± 0.03restraint = 0.24 ± 0.05"
Proton magnetic resonance spectroscopy,Proton magnetic resonance spectroscopy,Proton magnetic resonance spectroscopy,Proton magnetic resonance spectroscopy,Proton magnetic resonance spectroscopy,Proton magnetic resonance spectroscopy
bl,???,Gln,CRS group (n = 17/timepoint),Paired Cohen’s d = –0.538p = 0.027,"–1.19, –0.0217baseline: 0.53 ± 0.01restraint: 0.50 ± 0.01"
bm,???,Gln,Healthy group (n = 8/timepoint),Paired Cohen’s d = 0.743p = 0.174,"–0.127, 1.95baseline = 0.50 ± 0.02restraint = 0.54 ± 0.02"
bn,???,Glu,CRS group (n = 17/timepoint),Paired Cohen’s d = –0.711p = 0.0706,"–1.46, 0.134baseline: 1.41 ± 0.02restraint: 1.35 ± 0.02"
bo,???,Glu,Healthy group (n = 6/timepoint),Paired Cohen’s d = –1.1p = 0.121,"–2.15, –0.122baseline = 1.48 ± 0.04restraint = 1.37 ± 0.04"
bp,???,Gln + Glu(Glx),CRS group (n = 17/timepoint),Paired Cohen’s d = –0.84p = 0.0186,"–1.49, –0.115baseline: 1.94 ± 0.02restraint: 1.85 ± 0.03"
bq,???,Gln + Glu(Glx),Healthy group (n = 7/timepoint),Paired Cohen’s d = –0.41p = 0.529,"–1.83, 1.12baseline = 1.97 ± 0.04restraint = 1.92 ± 0.05"
br,,GABA,CRS group (n = 16/timepoint),Paired Cohen’s d = –0.137p = 0.74,"–0.959, 0.632baseline: 0.35 ± 0.01restraint: 0.34 ± 0.01"
bs,,GABA,Healthy group (n = 8/timepoint),Paired Cohen’s d = –0.558p = 0.378,"–1.82, 0.926baseline = 0.37 ± 0.02restraint = 0.34 ± 0.02"
bt,,Gln/Glu,CRS group (n = 17/timepoint),Paired Cohen’s d = –0.171p = 0.552,"–0.767, 0.275baseline = 0.38 ± 0.01restraint = 0.37 ± 0.01"
bu,,Gln/Glu,Healthy group (n = 6/timepoint),Paired Cohen’s d = 1.15p = 0.0632,"0.45, 2.51baseline = 0.35 ± 0.02restraint = 0.41 ± 0.02"
Animal weight and whole-brain volume,Animal weight and whole-brain volume,Animal weight and whole-brain volume,Animal weight and whole-brain volume,Animal weight and whole-brain volume,Animal weight and whole-brain volume
bv,???,"Spearman’s rank correlation rho because baseline weights were not normally distributed [n = 33 fromcurrent cohort, n = 41 from ??? and our unpublished data]","Spearman’s rank correlation rho because baseline weights were not normally distributed [n = 33 fromcurrent cohort, n = 41 from ??? and our unpublished data]",S = 28632p = 7.909e-08r = 0.58,Mean whole-brain volume to weight ratio = 6.64 ± 0.16 mm3/g
Hippocampal volume,Hippocampal volume,Hippocampal volume,Hippocampal volume,Hippocampal volume,Hippocampal volume
bw,???,CRS group (n = 18/timepoint),CRS group (n = 18/timepoint),Paired Cohen’s d = –0.811p = 0.0032,"–1.33, –0.318baseline: 5.88 ± 0.01restraint: 5.85 ± 0.01"
bx,???,Healthy group (n = 8/timepoint),Healthy group (n = 8/timepoint),Paired Cohen’s d = –0.409p = 0.327,"–1.64, 0.467baseline = 5.87 ± 0.01restraint = 5.85 ± 0.02"
Correlations,Correlations,Correlations,Correlations,Correlations,Correlations
by,???,Latency and salience network functional connectivity (not normal; Spearman’s rank correlationrho; n = 35),Latency and salience network functional connectivity (not normal; Spearman’s rank correlationrho; n = 35),R = 0.180S = 5853.7p = 0.3004padj = 0.4440,
bz,???,Latency and interoceptive network functional connectivity (not normal; Spearman’s rank correlationrho; n = 35),Latency and interoceptive network functional connectivity (not normal; Spearman’s rank correlationrho; n = 35),R = 0.312S = 4909.9p = 0.0678padj = 0.3627,
ca,???,Salience and interoceptive network functional connectivity (not normal; Spearman’s rank correlationrho; n = 37),Salience and interoceptive network functional connectivity (not normal; Spearman’s rank correlationrho; n = 37),R = 0.595S = 3414p = 0.0001padj = 0.0017,
cb,???,Latency and cingulate cortex functional connectivity (not normal; Spearman’s rank correlationrho; n = 35),Latency and cingulate cortex functional connectivity (not normal; Spearman’s rank correlationrho; n = 35),R = –0.484S = 10597p = 0.0032padj = 0.0320,
cc,???,Cingulate cortex and salience network functional connectivity (not normal; Spearman’s rankcorrelation rho; n = 37),Cingulate cortex and salience network functional connectivity (not normal; Spearman’s rankcorrelation rho; n = 37),R = –0.560S = 13158p = 0.0004padj = 0.0044,
cd,???,Cingulate cortex and interoceptive network functional connectivity (not normal; Spearman’srank correlation rho; n = 37),Cingulate cortex and interoceptive network functional connectivity (not normal; Spearman’srank correlation rho; n = 37),R = –0.402S = 11828p = 0.0142padj = 0.1137,
ce,???,Latency and Glx/tCr (latency not normal; Spearman’s rank correlation rho; n = 51),Latency and Glx/tCr (latency not normal; Spearman’s rank correlation rho; n = 51),R = 0.180S = 18116p = 0.2055padj = 0.4440,
cf,???,Latency and hippocampal volume (latency not normal; Spearman’s rank correlation rho; n = 52),Latency and hippocampal volume (latency not normal; Spearman’s rank correlation rho; n = 52),R = 0.262S = 17285p = 0.0605padj = 0.3627,
cg,???,Postrestraint latency and baseline hippocampal volume of CRS group (normal; Pearson’s product-moment correlation; n = 23),Postrestraint latency and baseline hippocampal volume of CRS group (normal; Pearson’s product-moment correlation; n = 23),R = 0.311t(21) = 1.50p = 0.1480padj = 0.4440,"–0.116, 0.641"
ch,???,Hippocampal volume and salience network functional connectivity (salience network functionalconnectivity not normal; Spearman’s rank correlation rho; n = 36),Hippocampal volume and salience network functional connectivity (salience network functionalconnectivity not normal; Spearman’s rank correlation rho; n = 36),R = 0.341S = 5124p = 0.0427padj = 0.2990,
ci,???,Hippocampal volume and interoceptive network functional connectivity (interoceptive networkfunctional connectivity not normal; Spearman’s rank correlation rho; n = 36),Hippocampal volume and interoceptive network functional connectivity (interoceptive networkfunctional connectivity not normal; Spearman’s rank correlation rho; n = 36),R = 0.299S = 5444p = 0.0764padj = 0.3627,
cj,???,Hippocampal volume and cingulate cortex functional connectivity (cingulate cortex functionalconnectivity not normal; Spearman’s rank correlation rho; n = 36),Hippocampal volume and cingulate cortex functional connectivity (cingulate cortex functionalconnectivity not normal; Spearman’s rank correlation rho; n = 36),R = –0.431S = 11122p = 0.0091padj = 0.0822,
