References,Study design,Subjects,Experimental treatment setting,Control treatment setting,Session duration and frequency,Clinical outcomes
Ibrahim et al. (???),CC,Int = 11 MS HC = 11,Physiotherapist supervised sessions of facilitation physiotherapy comprising sensorimotor stimuli applied repetitively in standard position and motor functions,–,120 min 8 weeks (2 days/week),PASAT-3; EDSS
Prosperini et al. (???)???,RCT,Int = 34 MS (17–17 cross-over) HC = 15,Home based balance training performed using a video game balance board system.,–,30 min 12 weeks (1 day/week),Force platform–based measures of static standing balance???; 4SST; T25FW???; MSIS-29???
Fling et al. (???),RCT,Int = 20 Con = 20,"Outpatient setting. The patient underwent an Assistive Device Selection, Training, and Education Program (ADSTEP) consisting of walking training. Participants performed progressive task-oriented training walking with an aid-device under varying conditions",No treatment (waitlist),40 min 2 weeks (1 day/week),Primary: Self-Reported Falls Secondary: TUG; 2MWT; T25FW; 4SST; International Physical Activity Questionnaire???; Quebec User Evaluation of Satisfaction with Assistive Technologies; Multiple Sclerosis Walking Scale-12; Activities-Specific Balance Confidence Scale; MSIS-29
Multimodal rehabilitation,Multimodal rehabilitation,Multimodal rehabilitation,Multimodal rehabilitation,Multimodal rehabilitation,Multimodal rehabilitation,Multimodal rehabilitation
Rasova et al. (???),CC,Int = 17 MS Con = 11 MS HC = 13,Outpatient setting. Sessions of “rehabilitative eclectic therapy based on principle of sensorimotor learning and adaptation”,No treatment,60 min 8 weeks (2 days/week),T25FW???; 9HPT???; PASAT-3???; PR???; MFIS???; BDIS???; BI; environmental status scale; MS QoL
Prochazkova et al. (???),RCT,Int = 20 MS Con = 18 MS HC = 42,"Outpatient setting physiotherapist supervised consisting of experimental neuro-proprioceptive facilitation, inhibition intervention: Motor program activating therapy that combines proprioceptive, tactile, visual and auditory stimuli","Outpatient setting consisting of standard neuro-proprioceptive facilitation, inhibition intervention: Vojta reflex locomotion with stimulation of “initiation zone”",60 min 8 weeks (2 days/week),Primary outcome: MRI data Secondary outcome: 9HPT; PASAT; BBS; T25FW; TUG
Rasova et al. (???),CS,Int = 12,"Outpatient setting physiotherapist supervised sessions of experimental neuro-proprioceptive facilitation, inhibition intervention: Motor program activating therapy that combines proprioceptive, tactile, visual and auditory stimuli",–,60 min 8 weeks (2 days/week),Motricity Index; Modified Ashworth Scale; BBS; Tremor; dysdiadochokinesis; dysmetria; PASAT-3; 9HPT; T25FW
Akbar et al. (???),Semi-RCT,Int = 5 Con = 5,Mostly home-based training in combination with outpatient setting The progressive resistance training involved exercise targeting large muscle groups of upper and lower limbs. The intensity/difficulty of exercises increased during the training session.,Mostly home-based training in combination with outpatient setting Stretching sessions developed following the “Stretching for people with MS” manual.,120 min 16 weeks (3 days/week),"MFIS??? (total score and subscales for physical, cognitive and psychosocial impact); T25FW; Godin Leisure-Time Exercise Questionnaire; GRIP"
Zuber et al. (???),Longitudinal PG,Int = 24 MS HC = 24,Inpatient setting. Personalized multidisciplinary rehabilitation,–,"100 min 3 weeks program mean duration: 16.6 ± 3.2 days (min = 10, max = 25.5 days) Session mean duration: 46.1 ± 15.3 h (min = 26.5, max = 80.6 h)",PASAT???; SDMT; digit span??? (WAIS-IV); Corsi Block Tapping Test; health-related QoL questionnaire (SF-12)???;FSMC motor component; 9HPT???; T25FW
Peran et al. (???),SCCS,Int = 26,"Inpatient setting. Personalized multidisciplinary rehabilitation which could include: physical therapy, occupational therapy, hydrokinetic therapy, cognitive therapy, therapies for speech, swallowing, respiration and ocular movements",–,135 min 10 weeks (6 days/week),EDSS; MSIS-29; FSS; BI; BDIS; RMI
