No.,Seed's Name,MNI Coordinates
41.0,AG r (Angular Gyrus Right),"(52, −52, 32)"
42.0,AG l (Angular Gyrus Left),"(−50, −56, 30)"
43.0,ICC r (Intracalcarine Cortex Right),"(12, −74, 8)"
44.0,ICC l (Intracalcarine Cortex Left),"(−10, −75, 8)"
45.0,MedFC (Frontal Medial Cortex),"(0, 43, −19)"
46.0,SMA r (Juxtapositional Lobule Cortex -formerly Supplementary Motor Cortex- Right),"(6, −3, 58)"
47.0,SMA L (Juxtapositional Lobule Cortex -formerly Supplementary Motor Cortex- Left),"(−5, −3, 56)"
48.0,SubCalC (Subcallosal Cortex),"(0, 21, −15)"
49.0,PaCiG r (Paracingulate Gyrus Right),"(7, 37, 23)"
50.0,PaCiG l (Paracingulate Gyrus Left),"(−6, 37, 21)"
51.0,"AC (Cingulate Gyrus, anterior division)","(1, 18, 24)"
52.0,"PC (Cingulate Gyrus, posterior division)","(1, −37, 30)"
53.0,Precuneous (Precuneous Cortex),"(1, −59, 38)"
54.0,FOrb r (Frontal Orbital Cortex Right),"(29, 23, −16)"
55.0,FOrb l (Frontal Orbital Cortex Left),"(−30, 24, −17)"
56.0,"aPaHC r (Parahippocampal Gyrus, anterior division Right)","(22, −8, −30)"
57.0,"aPaHC l (Parahippocampal Gyrus, anterior division Left)","(−22, −9, −30)"
58.0,"pPaHC r (Parahippocampal Gyrus, posterior division Right)","(23, −31, −17)"
59.0,"pPaHC l (Parahippocampal Gyrus, posterior division Left)","(−22, −32, −17)"
60.0,LG r (Lingual Gyrus Right),"(14, −63, −5)"
61.0,LG l (Lingual Gyrus Left),"(−12, −66, −5)"
62.0,"aTFusC r (Temporal Fusiform Cortex, anterior division Right)","(31, −3, −42)"
63.0,"aTFusC l (Temporal Fusiform Cortex, anterior division Left)","(−32, −4, −42)"
64.0,"pTFusC r (Temporal Fusiform Cortex, posterior division Right)","(36, −24, −28)"
65.0,"pTFusC l (Temporal Fusiform Cortex, posterior division Left)","(−36, −30, −25)"
66.0,FO r (Frontal Operculum Cortex Right),"(41, 19, 5)"
67.0,FO l (Frontal Operculum Cortex Left),"(−40, 18, 5)"
68.0,CO r (Central Opercular Cortex Right),"(49, −6, 11)"
69.0,CO l (Central Opercular Cortex Left),"(−48, −9, 12)"
70.0,PO r (Parietal Operculum Cortex Right),"(49, −28, 22)"
71.0,PO l (Parietal Operculum Cortex Left),"(−48, −32, 20)"
72.0,PP r (Planum Polare Right),"(48, −4, −7)"
73.0,PP l (Planum Polare Left),"(−47, −6, −7)"
74.0,HG r (Heschl's Gyrus Right),"(46, −17, 7)"
75.0,HG l (Heschl's Gyrus Left),"(−45, −20, 7)"
76.0,PT r (Planum Temporale Right),"(55, −25, 12)"
77.0,PT l (Planum Temporale Left),"(−53, −30, 11)"
78.0,SCC r (Supracalcarine Cortex Right),"(8, −74, 14)"
79.0,SCC l (Supracalcarine Cortex Left),"(−8, −73, 15)"
80.0,Thalamus r,"(11, −18, 7)"
81.0,Thalamus l,"(−10, −19, 6)"
82.0,Caudate r,"(13, 10, 10)"
83.0,Caudate l,"(−13, 9, 10)"
84.0,Putamen r,"(25, 2, 0)"
85.0,Putamen l,"(−25, 0, 0)"
86.0,Pallidum r,"(20, −4, −1)"
87.0,Pallidum l,"(−19, −5, −1)"
88.0,Hippocampus r,"(26, −21, −14)"
89.0,Hippocampus l,"(−25, −23, −14)"
90.0,Amygdala r,"(23, −4, −18)"
91.0,Amygdala l,"(−23, −5, −18)"
92.0,Accumbens r,"(9, 12, −7)"
93.0,Accumbens l,"(−9, 11, −7)"
94.0,Brain-Stem,"(0, −30, −35)"
95.0,Cereb1 l (Cerebelum Crus1 Left),"(−36, −66, −30)"
96.0,Cereb1 r (Cerebelum Crus1 Right),"(38, −67, −30)"
97.0,Cereb2 l (Cerebelum Crus2 Left),"(−29, −73, −38)"
98.0,Cereb2 r (Cerebelum Crus2 Right),"(32, −69, −40)"
99.0,Cereb3 l (Cerebelum 3 Left),"(−9, −37, −19)"
100.0,Cereb3 r (Cerebelum 3 Right),"(12, −35, −19)"
101.0,Cereb45 l (Cerebelum 4 5 Left),"(−14, −44, −17)"
102.0,Cereb45 r (Cerebelum 4 5 Right),"(16, −44, −19)"
103.0,Cereb6 l (Cerebelum 6 Left),"(−23, −58, −24)"
104.0,Cereb6 r (Cerebelum 6 Right),"(24, −58, −25)"
105.0,Cereb7 l (Cerebelum 7b Left),"(−32, −60, −45)"
106.0,Cereb7 r (Cerebelum 7b Right),"(33, −63, −48)"
107.0,Cereb8 l (Cerebelum 8 Left),"(−26, −55, −48)"
108.0,Cereb8 r (Cerebelum 8 Right),"(25, −56, −49)"
109.0,Cereb9 l (Cerebelum 9 Left),"(−11, −49, −46)"
110.0,Cereb9 r (Cerebelum 9 Right),"(9, −49, −46)"
111.0,Cereb10 l (Cerebelum 10 Left),"(−23, −34, −42)"
112.0,Cereb10 r (Cerebelum 10 Right),"(26, −34, −41)"
113.0,Ver12 (Vermis 1 2),"(1, −39, −20)"
114.0,Ver3 (Vermis 3),"(1, −40, −11)"
115.0,Ver45 (Vermis 4 5),"(1, −52, −7)"
116.0,Ver6 (Vermis 6),"(1, −66, −16)"
117.0,Ver7 (Vermis 7),"(1, −72, −25)"
118.0,Ver8 (Vermis 8),"(1, −64, −34)"
119.0,Ver9 (Vermis 9),"(1, −55, −35)"
120.0,Ver10 (Vermis 10),"(0, −46, −32)"
121.0,networks.SensoriMotor.Lateral (L),"(−55, −12, 29)"
122.0,networks.SensoriMotor.Lateral (R),"(56, −10, 29)"
123.0,networks.SensoriMotor.Superior,"(0, −31, 67)"
124.0,networks.FrontoParietal.LPFC (L),"(−43, 33, 28)"
125.0,networks.FrontoParietal.PPC (L),"(−46, −58, 49)"
126.0,networks.FrontoParietal.LPFC (R),"(41, 38, 30)"
127.0,networks.FrontoParietal.PPC (R),"(52, −52, 45)"
128.0,networks.Language.IFG (L),"(−51, 26, 2)"
129.0,networks.Language.IFG (R),"(54, 28, 1)"
130.0,networks.Language.pSTG (L),"(−57, −47, 15)"
131.0,networks.Language.pSTG (R),"(59, −42, 13)"
132.0,networks.Cerebellar.Anterior,"(0, −63, −30)"
133.0,networks.Cerebellar.Posterior,"(0, −79, −32)"
