Study,RS fMRI acquisition parameters???,TVC analysis approach???,Study subjects???,Main findings
Shi et al. (???),Siemens Trio 3T 232 volumes TR = 2 s,"1. Group ICA decomposition in 5 relevant independent components of interest 2. Sliding-window analysis, window length = 30 TRs (60 s), steps = 1 TR (2 s) 3. k-means clustering (four recurring states) and fuzzy-meta states analyses",Southwest University Longitudinal Imaging Multimodal dataset 331 healthy young adults 247 females (74.6%) mean age = 20.20 years SD = 1.34 years 212 healthy young adults 115 females (54.2%) mean age = 22.36 years SD = 1.49 years,- Subjects having a high score in subjective well being spent less time in a state characterized by low cross-network connectivity and strong within-network connectivity - The total number of transitions across states was correlated with a higher subjective well-being score
Smith et al. (???),"Siemens Skyra 3T scanner Eyes open 1,200 volumes TR = 0.72 s Test-retest data","1. Segmentation of 90 regions from Shirer et al. (Shirer et al., ???) 2. Point-process analysis 3. k-means clustering of coactivation patterns (four recurring states)",Human Connectome Project S500 Data dataset 100 healthy adults 54 females (54%),- Brain state- properties were reliable across days - Summary metrics of brain connectivity dynamics had an adequate test-retest reliability
Tagliazucchi et al. (???),"Siemens Trio 3T 1,505 volumes TR = 2.08 s",1. Group ICA decomposition in six relevant independent components of interest 2. Detrended fluctuation analysis 3. Hurst exponent (measuring long-range temporal dependence),39 healthy adults,- Temporal memory of RS fMRI time series decreases from wakefulness to deep non-rapid eye movement sleep - Long-range temporal dependence decreases especially in regions of the DMN and attention network
Vidaurre et al. (???),"Human Connectome Project dataset Siemens Skyra 3T Eyes open 1,200 volumes TR = 0.72 s UK Biobank dataset Siemens Skyra 3T Eyes open 490 volumes TR = 0.735 s","1. Group ICA decomposition in 50 relevant independent components of interest from the HCP dataset, in 55 relevant independent components of interest from the UK Biobank dataset 2. Hidden Markov model 3. Stochastic inference (12 recurring states)",Human Connectome Project dataset 820 healthy adults 453 females (55.2%) age range = 22–35 years UK Biobank dataset 5847 healthy adults age range = 40–69 years,"- Hidden Markov models allow to model resting (or task-related) brain activity as a time-varying sequence of distinct brain networks, also when analyzing very large amounts of data"
Yaesoubi et al. (???),"Data from Allen et al., ??? Siemens Trio 3T 152 volumes TR = 2 s",1. Group ICA decomposition in 50 relevant independent components of interest Time-frequency decomposition 2. k-means clustering (five recurring states),Data from Allen et al. (???) 405 healthy adults 3. 200 females (49.4%) 4. mean age = 21.0 years 5. age range = 12–35 years,"- A new time-frequency decomposition approach, based on wavelet transform coherence, detected time-frequency connectivity variations in RS fMRI data - Recurring connectivity patterns in time-frequency domain revealed significant between-group differences based on sex"
Yaesoubi et al. (???),Data from Allen et al. (???) Siemens Trio 3T 152 volumes TR = 2 s,"1. Group decomposition in 50 relevant components of interest, classified into seven different functional networks 2. Sliding-window analysis, window length = 32 TRs (44 s), steps = 1 TR (2 s) 3. Clustering of sliding-window matrices using temporal ICA to find maximally mutually temporally independent connectivity patterns (five recurring states) 4. Sex differences",Data from Allen et al. (???) 405 healthy adults 200 females (49.4%) mean age = 21.0 years age range = 12–35 years,"- A method alternative to k-means clustering is proposed, based on temporal ICA. This method allowed to detect temporally independent connectivity states - Frequency of occupancy of such states was not different between genders"
Yaesoubi et al. (???),Data from Allen et al. (???) Siemens Trio 3T 152 volumes TR = 2 s,1. Group ICA decomposition in 50 relevant independent components of interest 2. Time-frequency decomposition 3. k-means clustering of z-scored time-frequency decompositions to find recurring frequency modes (four recurring modes),Data from Allen et al. (???) 405 healthy adults 200 females (49.4%) mean age = 21.0 years age range = 12–35 years,- Time-frequency decomposition allowed to capture frequency variations in individual network time courses - Frequency modes represent “periodic” activities consisting of instantaneous activations and deactivations
Yang et al. (???),Siemens Trio 3T 884 volumes TR = 0.645 s Test-retest data,"1. Four spherical ROIs (radius = 3 mm) in crucial nodes of the posteromedial cortex; segmentation of 156 regions from Craddock et al. (???) 2. Sliding-window analysis, window length = 69 TRs (44 s), steps = 3 TRs (2 s) 3. Hierarchical clustering (five recurring states)",22 healthy adults 4. 6 females (27.3%) 5. mean age = 33.5 years 6. SD = 12.5 years 7. age range = 19–60 years,- Each subregion of the posteromedial cortex was associated with five recurring connectivity states Each subregion possessed a unique preferred state and distinct transition patterns
Zalesky et al. (???),"Siemens Skyra 3T 1,200 volumes TR = 0.72 s","1. Segmentation in different numbers of ROIs (from 90 to 4,000) (Zalesky et al., ???) 2. Sliding-window analysis, window length = 60 s, steps = 1 TR (0.72 s) 3. Non-stationarity of RS fMRI fluctuations measured using an ad hoc test statistic",Human connectome project Q2 Data dataset 10 healthy adults 6 females (60%) age range = 22–35 years,- A consistent set of functional connections had pronounced fluctuations over time - The most dynamic connections were inter-modular and involved hubs of the DMN and fronto-parietal network
Zhang C. et al. (???),"Siemens Skyra 3T 1,200 volumes TR = 0.72 s Test-retest data","1. Segmentation in 116 regions of the AAL atlas and 160 regions of the Dosenbach atlas (Dosenbach et al., ???) Sliding-window analysis, window length = from 20 TRs to 200 TRs 2. Standard deviation from the mean and excursion from the median. Amplitude of low-frequency fluctuations across sliding windows",Human connectome project S900 Data dataset 820 healthy adults 454 females (55.4%) age range = 22–37 years,"- TVC was reliable, especially when windows size was between 30 and 50 TRs, but less reliable than static FC - The highest reliability for static and dynamic FC analysis was found for intra-network connections in the fronto-parietal, DMN, sensorimotor, and occipital networks"
