Unnamed: 0,Region,N of voxels,Z,x,y,z
FD<HC,R rostral PFC,470,3.98,0,56,8
FD<HC,L ventral ACC,271,3.15,−4,−8,30
FD<HC,R insula,266,3.59,36,22,0
MobFD>oHC,L visual associative cortex,430,4.21,−24,−56,−6
FixFD<yHC,L ventral ACC,389,3.19,−8,−4,38
FixFD<yHC,R anterior prefrontal cortex,258,4.43,0,62,6
FixFD<yHC,R ventral ACC,235,3.1,8,−4,32
FixFD<yHC,R premotor and SMA,235,2.96,42,−2,32
Left AC‐cerebellum,,,,,,
MobFD<oHC,R primary somatosensory cortex,387,4.1,36,−16,39
MobFD>oHC,L dorsolateral PFC,256,4.62,−46,26,34
Right AC‐Cerebellum,,,,,,
FD<HC,L primary somatosensory gyrus,694,3.91,−34,16,30
FD>HC,R supramarginal gyrus,"1,382",4.32,44,−52,52
FD>HC,L precuneus,"1,382",4.28,−40,−44,54
FD>HC,L angular gyrus,"1,382",3.52,−38,−54,56
MobFD>oHC,R precuneus,376,3.97,18,−66,46
MobFD>oHC,R superior parietal lobule,279,3.77,36,−50,54
MobFD>oHC,L precuneus,259,4.02,−22,−64,52
MobFD>oHC,L supramarginal gyrus,232,4.29,−48,−34,44
FixFD<yHC,L primary somatosensory cortex,431,3.63,−34,−26,46
FixFD>yHC,R supramarginal gyrus,344,4.17,44,−52,52
FixFD<MobFD,L primary somatosensory cortex,276,5.29,−34,−26,46
FixFD<MobFD,L supramarginal gyrus,276,3.99,−46,−34,44
FixFD<MobFD,L premotor and SMA,424,3.33,−30,2,48
Left amygdala,,,,,,
FD>HC,L thalamus,287,4.11,−10,−8,4
FD>HC,R thalamus,287,3.61,12,−6,4
FD>HC,L precuneus,233,3.47,−2,−68,48
FixFD>yHC,L precuneus,461,3.36,−4,−68,40
FixFD>yHC,R dorsal PCC,461,3.31,4,−58,34
Right amygdala,,,,,,
MobFD>oHC,"R thalamus, prefrontal connections",324,3.79,17,−12,8
MobFD>oHC,R putamen,324,3.1,30,−13,8
MobFD>oHC,R anterior PFC,215,3.77,30,50,16
MobFD>oHC,R angular gyrus,220,3.5,52,−48,14
