Unnamed: 0,Label name,Component name,MNI coordinates,RGB code
88,LH_Default_PFC_6,Prefrontal Cortex,"−6,44,7","237,28,36"
89,LH_Default_PFC_7,Prefrontal Cortex,"−8,59,21","218,44,67"
90,LH_Default_PFC_8,Prefrontal Cortex,"−6,30,25","229,26,76"
91,LH_Default_PFC_9,Prefrontal Cortex,"−11,47,45","255,36,0"
92,LH_Default_PFC_10,Prefrontal Cortex,"−3,33,43","255,69,0"
93,LH_Default_PFC_11,Prefrontal Cortex,"−40,19,49","171,75,82"
94,LH_Default_PFC_12,Prefrontal Cortex,"−24,25,49","156,37,66"
95,LH_Default_PFC_13,Prefrontal Cortex,"−9,17,63","194,59,34"
96,LH_Default_pCunPCC_1,Precuneus/Posterior Cingulate Cortex,"−11,−56,13","196,30,58"
97,LH_Default_pCunPCC_2,Precuneus/Posterior Cingulate Cortex,"−5,−55,27","255,64,64"
98,LH_Default_pCunPCC_3,Precuneus/Posterior Cingulate Cortex,"−4,−31,36","211,0,63"
99,LH_Default_pCunPCC_4,Precuneus/Posterior Cingulate Cortex,"−6,−54,42","157,41,51"
100,LH_Default_PHC_1,Parahippocampal Cortex,"−26,−32,−18","205,92,92"
"Visual Network (VN), Right Hemisphere","Visual Network (VN), Right Hemisphere",,,
101,RH_Vis_1,Visual,"39,−35,−23","123,104,238"
102,RH_Vis_2,Visual,"28,−36,−14","147,112,219"
103,RH_Vis_3,Visual,"29,−69,−12","138,43,226"
104,RH_Vis_4,Visual,"12,−65,−5","201,160,220"
105,RH_Vis_5,Visual,"48,−71,−6","204,204,255"
106,RH_Vis_6,Visual,"11,−92,−5","75,0,130"
107,RH_Vis_7,Visual,"16,−46,−1","181,126,220"
108,RH_Vis_8,Visual,"31,−94,−4","147,112,219"
109,RH_Vis_9,Visual,"9,−75,9","167,107,207"
110,RH_Vis_10,Visual,"22,−60,7","116,108,192"
111,RH_Vis_11,Visual,"42,−80,10","138,43,226"
112,RH_Vis_12,Visual,"20,−90,22","111,0,255"
113,RH_Vis_13,Visual,"11,−74,26","120,81,169"
114,RH_Vis_14,Visual,"16,−85,39","115,79,150"
115,RH_Vis_15,Visual,"33,−75,32","105,53,156"
"Somatomotor Network (SMN), Right Hemisphere","Somatomotor Network (SMN), Right Hemisphere",,,
116,RH_SomMot_1,Somatomotor,"51,−15,5","135,206,235"
117,RH_SomMot_2,Somatomotor,"64,−23,8","30,144,255"
118,RH_SomMot_3,Somatomotor,"38,−13,15","0,191,255"
119,RH_SomMot_4,Somatomotor,"44,−27,18","0,0,205"
120,RH_SomMot_5,Somatomotor,"59,0,10","172,229,238"
121,RH_SomMot_6,Somatomotor,"56,−11,14","135,206,250"
122,RH_SomMot_7,Somatomotor,"58,−5,31","119,181,254"
123,RH_SomMot_8,Somatomotor,"10,−15,41","79,134,247"
124,RH_SomMot_9,Somatomotor,"51,−22,52","119,158,203"
125,RH_SomMot_10,Somatomotor,"47,−11,48","65,102,245"
126,RH_SomMot_11,Somatomotor,"7,−11,51","69,177,232"
127,RH_SomMot_12,Somatomotor,"40,−24,57","49,140,231"
128,RH_SomMot_13,Somatomotor,"32,−40,64","73,151,208"
129,RH_SomMot_14,Somatomotor,"33,−21,65","15,192,252"
130,RH_SomMot_15,Somatomotor,"29,−34,65","65,125,193"
131,RH_SomMot_16,Somatomotor,"22,−9,67","0,127,255"
132,RH_SomMot_17,Somatomotor,"10,−39,69","0,191,255"
133,RH_SomMot_18,Somatomotor,"6,−23,69","29,172,214"
134,RH_SomMot_19,Somatomotor,"20,−29,70","25,116,210"
"Dorsal Attention Network (DAN), Right Hemisphere","Dorsal Attention Network (DAN), Right Hemisphere",,,
135,RH_DorsAttn_Post_1,Posterior,"50,−53,−15","0,255,127"
136,RH_DorsAttn_Post_2,Posterior,"52,−60,9","50,205,50"
137,RH_DorsAttn_Post_3,Posterior,"59,−16,34","173,255,47"
138,RH_DorsAttn_Post_4,Posterior,"46,−38,49","144,238,144"
139,RH_DorsAttn_Post_5,Posterior,"41,−31,46","60,179,113"
140,RH_DorsAttn_Post_6,Posterior,"15,−73,53","34,139,34"
141,RH_DorsAttn_Post_7,Posterior,"34,−48,51","152,255,152"
142,RH_DorsAttn_Post_8,Posterior,"26,−61,58","144,238,144"
143,RH_DorsAttn_Post_9,Posterior,"8,−56,61","119,221,119"
144,RH_DorsAttn_Post_10,Posterior,"21,−48,70","116,195,101"
145,RH_DorsAttn_FEF_1,Frontal Eye Fields,"34,−4,52","80,200,120"
146,RH_DorsAttn_FEF_2,Frontal Eye Fields,"26,7,58","57,255,20"
147,RH_DorsAttn_PrCv_1,Precentral Ventral,"52,11,21","34,139,34"
"Ventral Attention Network (VAN), Right Hemisphere","Ventral Attention Network (VAN), Right Hemisphere",,,
148,RH_SalVentAttn_TempOccPar_1,Temporal Occipital Parietal,"57,−45,9","255,0,144"
149,RH_SalVentAttn_TempOccParr_2,Temporal Occipital Parietal,"60,−39,17","218,29,129"
150,RH_SalVentAttn_TempOccParr_3,Temporal Occipital Parietal,"60,−26,27","255,111,255"
151,RH_SalVentAttn_PrC_1,Precentral,"51,4,40","189,51,164"
152,RH_SalVentAttn_FrOperIns_1,Frontal Operculum Insula,"41,6,−15","189,51,164"
153,RH_SalVentAttn_FrOperIns_2,Frontal Operculum Insula,"46,−4,−4","204,0,204"
154,RH_SalVentAttn_FrOperIns_3,Frontal Operculum Insula,"36,24,5","218,112,214"
155,RH_SalVentAttn_FrOperIns_4,Frontal Operculum Insula,"43,7,4","241,167,254"
156,RH_SalVentAttn_Med_1,Medial,"7,9,41","255,111,255"
157,RH_SalVentAttn_Med_2,Medial,"11,−36,47","207,52,118"
158,RH_SalVentAttn_Med_3,Medial,"8,3,66","223,0,255"
"Limbic Network (LN), Right Hemisphere","Limbic Network (LN), Right Hemisphere",,,
159,RH_Limbic_OFC_1,Orbital Frontal Cortex,"12,39,−22","255,248,220"
160,RH_Limbic_OFC_2,Orbital Frontal Cortex,"28,22,−19","240,230,140"
161,RH_Limbic_OFC_3,Orbital Frontal Cortex,"15,64,−8","253,253,150"
162,RH_Limbic_TempPole_1,Temporal Pole,"30,9,−38","252,247,94"
163,RH_Limbic_TempPole_2,Temporal Pole,"47,−12,−35","255,250,205"
164,RH_Limbic_TempPole_3,Temporal Pole,"25,−11,−32","251,236,93"
"Frontoparietal Network (FPN), Right Hemisphere","Frontoparietal Network (FPN), Right Hemisphere","Frontoparietal Network (FPN), Right Hemisphere",,
165,RH_Cont_Par_1,Parietal,"62,−37,37","255,165,0"
166,RH_Cont_Par_2,Parietal,"53,−42,48","255,140,0"
167,RH_Cont_Par_3,Parietal,"37,−63,47","255,160,137"
168,RH_Cont_Temp_1,Temporal,"63,−41,−12","255,200,124"
169,RH_Cont_PFCv_1,Ventral Prefrontal Cortex,"34,21,−8","255,103,0"
170,RH_Cont_PFCl_1,Lateral Prefrontal Cortex,"36,46,−13","255,153,102"
171,RH_Cont_PFCl_2,Lateral Prefrontal Cortex,"29,58,5","255,163,67"
172,RH_Cont_PFCl_3,Lateral Prefrontal Cortex,"43,45,10","255,130,67"
173,RH_Cont_PFCl_4,Lateral Prefrontal Cortex,"46,24,26","255,174,66"
174,RH_Cont_PFCl_5,Lateral Prefrontal Cortex,"30,48,27","237,135,45"
175,RH_Cont_PFCl_6,Lateral Prefrontal Cortex,"41,33,37","224,141,60"
176,RH_Cont_PFCl_7,Lateral Prefrontal Cortex,"42,14,49","255,167,0"
177,RH_Cont_pCun_1,Precuneus,"14,−70,37","255,153,51"
178,RH_Cont_Cing_1,Cingulate,"5,−24,31","237,145,33"
179,RH_Cont_Cing_2,Cingulate,"5,3,30","251,153,2"
180,RH_Cont_PFCmp_1,Medial Posterior Prefrontal Cortex,"7,31,28","255,186,0"
181,RH_Cont_PFCmp_2,Medial Posterior Prefrontal Cortex,"7,25,55","228,155,15"
"Default Mode Network (DMN), Right Hemisphere","Default Mode Network (DMN), Right Hemisphere","Default Mode Network (DMN), Right Hemisphere",,
182,RH_Default_Par_1,Parietal,"47,−69,27","153,0,0"
183,RH_Default_Par_2,Parietal,"54,−50,28","228,113,122"
184,RH_Default_Par_3,Parietal,"51,−59,44","234,60,83"
185,RH_Default_Temp_1,Temporal,"47,13,−30","240,128,128"
186,RH_Default_Temp_2,Temporal,"61,−13,−21","255,69,0"
187,RH_Default_Temp_3,Temporal,"55,−6,−10","165,42,42"
188,RH_Default_Temp_4,Temporal,"63,−27,−6","255,0,0"
189,RH_Default_Temp_5,Temporal,"52,−31,2","123,17,19"
190,RH_Default_PFCv_1,Ventral Prefrontal Cortex,"51,28,0","255,64,64"
191,RH_Default_PFCd/m_1,Dorsal/Medial Prefrontal Cortex,"5,37,−14","220,20,60"
192,RH_Default_PFCd/m_2,Dorsal/Medial Prefrontal Cortex,"8,42,4","227,66,52"
193,RH_Default_PFCd/m_3,Dorsal/Medial Prefrontal Cortex,"6,29,15","215,59,62"
194,RH_Default_PFCd/m_4,Dorsal/Medial Prefrontal Cortex,"8,58,18","203,65,84"
195,RH_Default_PFCd/m_5,Dorsal/Medial Prefrontal Cortex,"15,46,44","255,83,73"
196,RH_Default_PFCd/m_6,Dorsal/Medial Prefrontal Cortex,"29,30,42","206,32,41"
197,RH_Default_PFCd/m_7,Dorsal/Medial Prefrontal Cortex,"23,24,53","232,0,13"
198,RH_Default_pCunPCC_1,Precuneus/Posterior Cingulate Cortex,"12,−55,15","196,30,58"
199,RH_Default_pCunPCC_2,Precuneus/Posterior Cingulate Cortex,"7,−49,31","255,64,64"
200,RH_Default_pCunPCC_3,Precuneus/Posterior Cingulate Cortex,"6,−58,44","211,0,63"
