Study,Subjects,Task,Main findings
???,31 people with MS15 HC,Passive flexion–extension of the metacarpo-phalangeal joints,"The ipsilateral motor cortex was more activated during active and passive movements, with a gradient across phenotypes (SPMS > RRMS > HC). Motor regions were less deactivated and DMN areas were more deactivated in RRMS, but not in SPMS vs HC"
???,14 people with RRMS,"Finger to thumb opposition with the right hand (index, medium, ring and little fingers)","During the finger tapping task, temporal accuracy of task execution was higher in fatigued MS and correlated with higher cerebellar and orbitofrontal fMRI activity"
???,13 people with RRMS14 HC,Auditory-cued flexion–extension of the fingers of one hand,"Compared to HC, people with MS presented higher fMRI activation during a motor task (especially when executed with non-dominant hand) and higher RS FC. Levels of hyper-activation and hyper-connectivity at RS were inter-related"
???,79 people with MS26 HC,"Flexion-extension of the last four fingers of the right, dominant hand","Fatigued MS people showed reduced activation of sensorimotor, temporal and basal ganglia regions, and increased frontal activation compared to non-fatigued MS. Time-modulation analysis showed reduced fMRI activity over time in non-fatigued MS only"
???,25 people with RRMS20 HC,Press and release both thumb-buttons at presentation of a checkerboard stimulus,"Amplitude of the BOLD response in the visual and motor cortex was reduced in people with MS vs HC, and correlated with microstructural damage"
???,14 people with RRMS,"Finger to thumb opposition with the right hand (index, medium, ring and little fingers)","fMRI activity in basal ganglia regions (known to be involved in fatigue) and amygdala was high during the non-demanding finger tapping task, decreased during the execution of the highly demanding finger tapping task, and returned to baseline after a resting period"
???,17 people with CIS20 people with RRMS20 HC,Squeeze (and imagine to squeeze) a foam ball with the dominant and non-dominant hand,"Reduced performance of motor imagery varied according to disease stage (i.e., in CIS vs RRMS), and inversely associated with fMRI activations of occipital, frontal and parietal regions (which were stronger with the non-dominant hand)"
???,44 people with RRMS25 HC,"Press a pincer grip a force sensitive device, and produce a force matching that showed on a screen","In people with MS, during the precision grip task, fMRI activity of the cerebellum was proportional to fatigue. Linear increase of activity over time in premotor and frontal regions was impaired in MS according to fatigue severity"
???,59 people with MS15 HC,"Task 1: play a paddle under a ball to bounce it upTask 2: watch a ball moving on the screenTask 3: move the joystick to the left and right, while the ball is frozen on the screen","FMRI activation was higher, during the joystick task, in patients with MS and tremor than in HC and non-tremor MS, in parietal, premotor and supplementary motor cortex. Higher fMRI activation was associated with lower tremor severity"
???,14 people with RRMS14 HC,To squeeze a rubber ball with varying grip force levels using the right hand,"In response to the variable grip force task, fMRI activation was increased in MS vs HC both in anterior and posterior BA4. However, non-linear analysis showed abnormal non-linear responses to increasing grip forces in MS in posterior BA4"
???,18 people with MS18 HC,Writing a sentence in cursive,"Hand-writing elicited fMRI activity was lower in people with MS vs HC in temporal, parietal, insular and basal ganglia regions. Preserved fMRI activity in these regions was associated with better writing performances"
???,28 people with RRMS17 HC,"To follow a target force line by squeezing and releasing the right fingers, or by pulling up and down the right foot","During the lower limb force matching task, lower fMRI activity was detected in people with MS vs HC in cerebellar, occipital and superior parietal cortices. Reduced activity was associated with more erroneous/delayed lower limb tracking"
???,32 people with RRMS17 HC,Auditory-cued press-release of bilateral thumb buttons,"Calibrated fMRI during the finger tapping task showed a significant increase of blood flow and oxygen consumption in the central region activated by the task. Poor MS performers at the 9HPT, compared to remaining people, had lower blood flow and oxygen consumption in the surrounding region"
Visual tasks,Visual tasks,Visual tasks,Visual tasks
???,9 people with RRMS and ON8 HC,"Red light stimulation of both eyes simultaneously, then of each eye, separately","Upon stimulation, people with MS showed reduced activation of the affected eye (33% on average) and unaffected eye (61% on average) compared to HC"
???,7 people with MS recovering from ON7 HC,Red photic stimulation to the whole visual field,"Extensive fMRI activation of visual, parietal, insular and thalamic regions was found when stimulating the recovered eye. FMRI activation of visual and insular regions was found when stimulating the unaffected eye"
???,22 people with RRMS23 HC,"Visual task: focus on a red crosshair, and press a key at the beginning of the flashing checkerboardsMotor task: visually-cued flexion–extension of the last four finger of left or right handMemory task: 0-back and 2-back task","During visual, motor and working memory fMRI tasks, an enhanced fMRI activity of regions belonging to the cognitive control system (dorsolateral prefrontal and anterior cingulate cortices) was found in people with MS vs HC"
???,12 people with MS,Press and release both thumb-buttons at change in the luminance of the fixation cross,"Calibrated fMRI demonstrated altered cerebral blood flow and oxygen consumption in the visual cortex during the visual task, which was associated with microstructural damage of occipital tracts"
