Unnamed: 0,Estimate,Scaled estimate,Std. Error (scaled),t-value (scaled),Pr(>|t | )
LFPN-DMN x First-generation American,0.26,0.32,0.27,1.17,0.243
LFPN-DMN x Parent ethnic identification,0.12,0.37,0.32,1.15,0.25
Native American/Alaska Native,0.10,0.36,0.32,1.12,0.261
Parent married,0.02,0.33,0.3,1.11,0.266
LFPN-DMN x Census: % of people over age 25 with > = a high school diploma,0.08,0.29,0.26,1.11,0.269
LFPN-DMN x Youth born outside U.S.,0.83,0.36,0.33,1.09,0.274
LFPN-DMN x Private school,−0.70,−0.35,0.32,1.09,0.278
Other race,−0.04,−0.33,0.31,1.07,0.286
LFPN-DMN x Parent separated/divorced,0.25,0.31,0.29,1.06,0.288
LFPN-DMN x Youth-reported school involvement,0.10,0.30,0.29,1.05,0.294
LFPN-DMN x Second-generation American,−0.44,−0.32,0.31,1.02,0.308
Youth-reported parental acceptance,−0.01,−0.30,0.31,0.97,0.333
Any siblings,−0.02,−0.30,0.33,0.9,0.366
Other school setting,0.08,0.29,0.32,0.89,0.372
LFPN-DMN x People living in home,−0.06,−0.27,0.31,0.87,0.387
LFPN-DMN x Third-generation American,0.10,0.19,0.23,0.86,0.392
LFPN-DMN x Youth-reported school disengagement,−0.09,−0.26,0.31,0.85,0.397
Parent widowed,−0.06,−0.27,0.33,0.81,0.418
Not in school,−0.11,−0.25,0.31,0.8,0.425
Home school,−0.16,−0.22,0.3,0.73,0.463
LFPN-DMN x Financial stress,−0.05,−0.22,0.31,0.73,0.468
Parent separated/divorced,0.02,0.22,0.31,0.72,0.471
Census: adult violent crime reports,0.01,0.20,0.27,0.72,0.472
LFPN-DMN x home school,−2.82,−0.21,0.3,0.71,0.478
Youth-reported supportive school environment,−0.01,−0.21,0.3,0.7,0.483
LFPN-DMN x Asian race,0.44,0.21,0.31,0.7,0.487
LFPN-DMN x Census: income disparity,0.05,0.16,0.23,0.7,0.487
Census: uniform crime reports,0.01,0.19,0.28,0.68,0.498
LFPN-DMN x Youth-reported parental monitoring,−0.06,−0.21,0.31,0.67,0.503
LFPN-DMN x Any siblings,0.15,0.20,0.3,0.65,0.517
Hours/week spent at another household,−0.01,−0.21,0.34,0.63,0.526
LFPN-DMN x Native American/Alaska Native,0.51,0.19,0.32,0.59,0.553
LFPN-DMN x Youth-reported family conflict,0.06,0.18,0.31,0.58,0.565
LFPN-DMN x School for behavioral/emotional problems,−2.37,−0.20,0.35,0.57,0.566
LFPN-DMN x Youth-reported supportive school environment,0.05,0.17,0.3,0.56,0.578
LFPN-DMN x Parent married,0.11,0.16,0.28,0.55,0.58
LFPN-DMN x Census: adult violent crime reports,−0.06,−0.15,0.27,0.55,0.581
School for behavioral/emotional problems,0.10,0.18,0.35,0.51,0.612
LFPN-DMN x Census: estimated lead risk,0.04,0.13,0.25,0.5,0.616
Youth-reported school involvement,0.00,−0.14,0.3,0.49,0.625
People living in home,0.00,−0.15,0.31,0.48,0.633
Private school,−0.02,−0.15,0.32,0.48,0.634
Child born outside U.S.,−0.03,−0.15,0.33,0.46,0.648
LFPN-DMN x Census: uniform crime reports,−0.05,−0.13,0.28,0.45,0.65
LFPN-DMN x Other race,−0.17,−0.13,0.31,0.44,0.661
Youth-reported parental monitoring,0.00,−0.13,0.32,0.42,0.671
Parent self-reported aggressive behavior,0.00,0.12,0.29,0.42,0.673
Youth-reported family conflict,0.00,−0.12,0.32,0.39,0.695
LFPN-DMN x Charter school,−0.16,−0.11,0.31,0.37,0.71
Financial stress,0.00,0.11,0.33,0.35,0.726
LFPN-DMN x Head motion,0.03,0.09,0.3,0.3,0.763
LFPN-DMN x Parent never married,0.05,0.07,0.27,0.26,0.795
LFPN-DMN x Parent self-reported withdrawn behavior,0.02,0.08,0.3,0.25,0.802
Head motion,0.00,0.07,0.33,0.21,0.835
LFPN-DMN x Parent self-reported aggressive behavior,0.02,0.06,0.29,0.19,0.847
Hispanic ethnicity,0.00,0.05,0.24,0.19,0.849
Non-hispanic ethnicity,0.00,−0.05,0.24,0.19,0.849
Parent self-reported intrusive behavior,0.00,0.06,0.31,0.19,0.852
Age,0.00,0.06,0.33,0.17,0.865
Public school,0.00,0.05,0.29,0.17,0.868
LFPN-DMN x Parent widowed,−0.18,−0.05,0.33,0.17,0.869
LFPN-DMN x Census: % of families below the poverty level,0.01,0.04,0.23,0.16,0.87
Census: % of occupied units without complete plumbing,0.00,0.05,0.33,0.16,0.873
LFPN-DMN x Youth-reported parental acceptance,0.01,0.04,0.3,0.13,0.9
Parent living with partner,0.00,0.03,0.32,0.11,0.914
LFPN-DMN x Parent living with partner,−0.04,−0.03,0.31,0.1,0.919
LFPN-DMN x Hispanic ethnicity,−0.02,−0.03,0.26,0.1,0.92
LFPN-DMN x Age,0.01,0.02,0.32,0.07,0.946
LFPN-DMN x Other school setting,0.03,0.01,0.32,0.03,0.976
LFPN-DMN x Census: % of labor force aged > = 16 y unemployed,0.00,−0.01,0.25,0.02,0.981
Charter school,0.00,−0.01,0.3,0.02,0.982
Parent self-reported withdrawn behavior,0.00,0.00,0.3,0.0,0.997
